x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-988.526855,44.849998,-283.621490,-95.875732,15,0,0,0,
-1010.759216,44.887978,-281.267456,-115.393402,5,0,0,0,
-1026.816040,52.120003,-285.402954,-21.725147,3,0,0,0,
-1042.486572,58.958004,-282.948944,-155.073990,3,0,0,0,
-1069.425171,68.940994,-290.400238,-139.959976,3,0,0,0,
-1085.406738,75.639023,-280.642670,-36.342003,3,0,0,0,
-1101.164185,82.135002,-288.795349,-152.197083,3,0,0,0,
-1115.821045,88.718994,-280.935150,-45.964996,3,0,0,0,
-1146.672974,96.442993,-284.686981,-94.939995,5,0,0,0,
-1307.627686,44.740009,-284.672058,-89.908852,6,0,0,0,
-1471.032837,34.770004,-285.251862,-89.933983,7,0,0,0,
