x,y,z,a,radius,frame rate,state changes,texture changes,msg
1151.883423,1.814991,137.394073,22.644003,11.000000,0,0,0,
1298.435059,6.571001,-363.375885,180.852997,7.000000,0,0,0,
1151.866089,4.850400,-520.486938,88.372002,10.000000,0,0,0,
860.445007,0.978000,-438.254974,93.220985,13.000000,0,0,0,
586.876831,4.850146,-413.975586,160.840530,11.000000,0,0,0,
520.443970,3.793343,-377.944733,148.338989,9.000000,0,0,0,
472.135040,-0.112000,-111.464005,196.308990,19.000000,0,0,0,
439.209015,-0.001471,83.287643,200.597992,17.000000,0,0,0,
308.837006,-0.150000,322.134949,184.578033,14.000000,0,0,0,
690.867126,-0.149900,584.802979,178.459976,8.000000,0,0,0,
997.721985,-0.149800,193.722870,223.041992,9.000000,0,0,0,
1129.538940,0.207923,190.019958,195.335007,10.000000,0,0,0,
