x,y,z,a,radius,frame rate,state changes,texture changes,msg
-1028.467651,-0.150200,25.586111,-200.000000,9.000000,0,0,0,
-960.047058,-0.150200,182.888046,120.000000,14.000000,0,0,0,
-650.951721,-0.150200,109.009399,71.680008,15.000000,0,0,0,
-550.030151,-0.150100,-113.121857,-31.870003,7.000000,0,0,0,
-425.058990,-0.150100,-140.983978,161.130005,16.000000,0,0,0,
-332.022034,-0.150100,-109.250252,62.010006,16.000000,0,0,0,
-158.004715,-0.150000,-111.838310,123.900002,13.000000,0,0,0,
-4.179999,-0.150000,-107.830002,56.710011,15.000000,0,0,0,
161.613022,-0.190000,-219.664993,55.820007,8.000000,0,0,0,
286.606995,-0.149900,-332.491974,42.680000,10.000000,0,0,0,
511.357605,4.850400,-529.214844,248.835022,10.000000,0,0,0,
834.184998,4.850400,-574.521057,-11.540001,11.000000,0,0,0,
813.185791,4.850400,-775.394470,16.076998,11.000000,0,0,0,
879.719910,4.850400,-840.469238,-86.899986,10.000000,0,0,0,
1036.284058,4.850400,-856.485718,80.000000,10.000000,0,0,0,
943.996033,4.850400,-974.162903,-75.000000,10.000000,0,0,0,
584.632996,4.850400,-1064.678955,-85.000000,11.000000,0,0,0,
100.629906,4.850400,-936.527039,75.000000,10.000000,0,0,0,
-362.174988,4.850400,-760.192322,55.000000,13.000000,0,0,0,
-893.957947,-0.126428,-585.156006,70.000000,10.000000,0,0,0,
-1123.661743,-0.150200,-508.303314,75.000000,9.000000,0,0,0,
-1122.656982,-0.150200,-322.056946,-15.000000,8.000000,0,0,0,
