# file: c:/mm/shop/race/race2c25waypoints.csv geofile: c2pt num: 15
306.773,0.2035,140.0,180,12.8,0,0,
306.732,-0.15207,241.532,180,13.0,0,0,
297.0,-5e-005,406.0,-108,0,0,0,
255.0,-5e-005,408.0,90,13.5,0,0,
58.4512,4.99991,631.379,0,13.0,0,0,
-5.58256,8.70775,667.625,-159,8.0,0,0,
-113.0,8.0,788.0,0,12.8,0,0,
-257.0,2.0,1022.0,-151,0,0,0,
-89.2502,9.9999,1327.43,0,25,0,0,
74.0611,8.32624,1387.55,109,25,0,0,
630.018,0.10192,1123.68,0,20,0,0,
593.325,-6e-005,500.751,0,0,0,0,
464.096,-3e-005,227.526,0.1,0,0,0,
380.003,0.3,0.00213,-90,20.0,0,0, 
