# file: c:/mm/shop/race/race9c25waypoints.csv geofile: c9pt num: 12
-821.732,6e-005,-509.117,40,0,0,0,
-655.604,8e-005,-672.765,0,13.0,0,0,
-250.0,9.82169,-1062.14,59,10.0,0,0,
-161.76,4.76087,-1200.64,14,8.0,0,0,
-263.378,1.13169,-1276.26,-62,8.0,0,0,
-285.043,0.00017,-1437.0,125,18.0,0,0,
-49.8376,2.45345,-988.372,176,0,0,0,
-231.385,3.60035,-776.949,0,0,0,0,
-415.00,2.00008,-696.0,90,13.5,0,0,
-589.0,5e-005,-381.0,-145,0,0,0,
-631.658,-2e-005,241.059,0,13.0,0,0,
-605.811,-6e-005,503.49,0,0,0,0, 
