# file: c:/mm/shop/race/race6c25waypoints.csv geofile: c6pt num: 18
-279.737,0,5.0,-90.0,24.0,0,0,
-371.0,-1.00E-05,78.7231,0,19.0,0,0,
-369.812,-3.00E-05,256.827,180,19,0,0,
-419.138,-5.00E-05,407.766,-90,13,0,0,
-460.255,3.99994,534.399,0,0,0,0,
-283.692,4.39087,680.562,0,8.0,0,0,
-12.7889,9.9999,700.773,0,9.0,0,0,
20.0,4.99991,618.0,85.0,8.0,0,0,
112.0,3.90115,712.0,0,8.0,0,0,
128.0,0.57398,882.971,151,8.0,0,0,
51.0,-0.00013,1081.0,-147,7.0,0,0,
316.0,-0.00012,1030.0,122,8.0,0,0,
407.275,-0.00013,1084.7,104,9.0,0,0,
475.618,-0.09035,394.915,0,20.0,0,0,
384.0,-3.00E-05,260.0,-130,8.0,0,0,
297.0,-5.00E-05,408.0,-110,14.0,0,0,
14.8512,-5.00E-05,407.768,-90,0,0,0,
-175.413,-3.00E-05,256.824,0.1,0,0,0,
